Date, Race, Distance, Ascent, Venue, Country, Region, Distance (mil), Climb (m), Gmap, Web
Wed 27th Jun 2018 at 19:30,27/06 Cragg Vale,6.4km / 4m,244m / 801ft,Near Cragg Church,England,South/West Pennines,4.0,244,53.705244 -2.002993,http://fellrunner.org.uk/races.php?id=5462 
Wed 27th Jun 2018 at 19:30,27/06 Eddie's Revenge,6.1km / 3.8m,323m / 1060ft,St Saviours Church Buckstones Rd Shaw OL2 8NB,England,South/West Pennines,3.8,323,53.705244 -2.002993,http://fellrunner.org.uk/races.php?id=5488 
Wed 27th Jun 2018 at 19:30,27/06 Harrock Hill 2,8.4km / 5.2m,275m / 902ft,800m from Farmers Arms Bispham Green Parbold L40 3SL,England,South/West Pennines,5.2,275,800m from Farmers Arms Bispham Green Parbold L40 3SL,http://fellrunner.org.uk/races.php?id=5755 
Wed 27th Jun 2018 at 19:30,27/06 Hope Wakes,9.5km / 5.9m,451m / 1480ft,Hope Sportsfield Castleton Rd Hope S33 6RD,England,Peak District,5.9,451,53.349053 -1.753601,http://fellrunner.org.uk/races.php?id=5867 
Thu 28th Jun 2018 at 19:30,28/06 Winster,6.49km / 4m,177m / 581ft,Market House Winster DE4 2DS,England,Peak District,4.0,177,Market House Winster DE4 2DS,http://fellrunner.org.uk/races.php?id=5980 
Fri 29th Jun 2018 at 18:45,29/06 Inov-8 Snowdon Twilight - Uphill Only,7.16km / 4.4m,1000m / 3281ft,Royal Victoria Hotel Llanberis LL55 4TY,Wales,Wales,4.4,1000,Royal Victoria Hotel Llanberis LL55 4TY,http://fellrunner.org.uk/races.php?id=5827 
Fri 29th Jun 2018 at 19:00,29/06 Kirkby Stephen Sports,4km / 2.5m,110m / 361ft,Upper Eden Rugby Club CA17 4TF,England,York. Dales,2.5,110,54.470453 -2.354855,http://fellrunner.org.uk/races.php?id=5823 
Fri 29th Jun 2018 at 19:45,29/06 Tideswell,7.1km / 4.4m,260m / 853ft,Tideswell Dale picnic area car park,England,Peak District,4.4,260,53.264595 -1.772078,http://fellrunner.org.uk/races.php?id=5686 
Sat 30th Jun 2018 at 08:00,30/06 Saunders Lakeland Mountain Marathon,Unknown,Unknown,Lakeland venue to be announced with final details,England,Lake District,0.0,0,Lakeland venue to be announced with final details,http://fellrunner.org.uk/races.php?id=5448 
Sat 30th Jun 2018 at 11:00,30/06 Cross Fell,24km / 14.9m,680m / 2231ft,Garrigill Village Green CA9 3DS,England,North Pennines,14.9,680,54.768679 -2.397875,http://fellrunner.org.uk/races.php?id=5969 
Sat 30th Jun 2018 at 12:00,30/06 Holyhead Mountain,10.7km / 6.6m,430m / 1411ft,Holyhead Breakwater Country Park Anglesey LL65 1YG,Wales,Wales,6.6,430,Holyhead Breakwater Country Park Anglesey LL65 1YG,http://fellrunner.org.uk/races.php?id=5702 
Sat 30th Jun 2018 at 13:00,30/06 Up The Nab,6.4km / 4m,365m / 1197ft,Glossop Rugby Club Hargate Hill Lane Charlesworth SK13 5HG,England,Peak District,4.0,365,53.436495 -1.987917,http://fellrunner.org.uk/races.php?id=5773 
Sat 30th Jun 2018 at 14:00,30/06 Chrome Hill,6.4km / 4m,213m / 699ft,Hollinsclough Academy SK17 0RH,England,Peak District,4.0,213,Hollinsclough Academy SK17 0RH,http://fellrunner.org.uk/races.php?id=5403 
Sat 30th Jun 2018 at 15:00,30/06 Middletown Show,5.6km / 3.5m,204m / 670ft,Middletown SY21 8EL,Wales,Wales,3.5,204,52.705650 -3.035965,http://fellrunner.org.uk/races.php?id=5770 
Sat 30th Jun 2018 at 15:15,30/06 Eldwick Gala,4.8km / 3m,168m / 551ft,Eldwick Memorial Hall BD16 3EQ,England,South/West Pennines,3.0,168,Eldwick Memorial Hall BD16 3EQ,http://fellrunner.org.uk/races.php?id=5498 
Sat 30th Jun 2018,30/06 V3k Half,21km / 13m,1200m / 3937ft,Glan Dena Ogwen LL24 0EU SH659602,Wales,Wales,13.0,1200,53.122075 -4.005371,http://fellrunner.org.uk/races.php?id=5836 
Sat 30th Jun 2018,30/06 V3k Ultra,55km / 34.2m,4500m / 14764ft,Hendre Hall Bangor LL57 3YP SH6233971287,Wales,Wales,34.2,4500,Hendre Hall Bangor LL57 3YP SH6233971287,http://fellrunner.org.uk/races.php?id=5835 
Sat 30th Jun 2018,30/06 Whaley Waltz,9.3km / 5.8m,274m / 899ft,Uniting Church 35 Buxton Road Whaley Bridge SK23 7HT,England,Peak District,5.8,274,Uniting Church 35 Buxton Road Whaley Bridge SK23 7HT,http://fellrunner.org.uk/races.php?id=5890 
