Date, Race, Distance, Ascent, Venue, Country, Region, Distance (mil), Climb (m), Gmap, Web
Tue 3rd Jul 2018 at 19:30,03/07 Stoodley Pike,5km / 3.1m,213m / 699ft,Top Brink Inn Lumbutts Todmorden OL14 6JB,England,South/West Pennines,3.1,213,53.543458 -2.007505,http://fellrunner.org.uk/races.php?id=5732 
Wed 4th Jul 2018 at 19:00,04/07 Reston Scar Scamper,6km / 3.7m,301m / 988ft,Staveley Mill Yard next to Wheelbase/Wilfs Cafe,England,Lake District,3.7,301,Staveley Mill Yard next to Wheelbase/Wilfs Cafe,http://fellrunner.org.uk/races.php?id=5944 
Wed 4th Jul 2018 at 19:30,04/07 Rob Shepherd's Stirton,9km / 5.6m,360m / 1181ft,Stirton Skipton,England,South/West Pennines,5.6,360,53.971276 -2.045702,http://fellrunner.org.uk/races.php?id=5871 
Thu 5th Jul 2018 at 19:15,05/07 Don Ashton Memorial Tockholes,9.3km / 5.8m,335m / 1099ft,The Rock Public House Tockholes Rd Tockholes Darwen,England,South/West Pennines,5.8,335,53.705941 -2.513500,http://fellrunner.org.uk/races.php?id=5531 
Thu 5th Jul 2018 at 19:30,05/07 Hoad Hill,2.8km / 1.7m,151m / 495ft,Ford Park Ulverston Cumbria LA12 7JP,England,Lake District,1.7,151,Ford Park Ulverston Cumbria LA12 7JP,http://fellrunner.org.uk/races.php?id=5749 
Thu 5th Jul 2018 at 19:30,05/07 Rangers Alderman's Ascent,8.5km / 5.3m,402m / 1319ft,Shaw Hall Bank Rd Greenfield OL3 7LD,England,South/West Pennines,5.3,402,Shaw Hall Bank Rd Greenfield OL3 7LD,http://fellrunner.org.uk/races.php?id=5491 
Sat 7th Jul 2018 at 10:00,07/07 Charmouth Challenge,12.4km / 7.7m,580m / 1903ft,Charmouth Primary School Lower Sea Lane Charmouth Dorset DT6 6LR,England,South West,7.7,580,50.734904 -2.902600,http://fellrunner.org.uk/races.php?id=5614 
Sat 7th Jul 2018 at 10:30,07/07 Chevy Chase,32.2km / 20m,1219m / 3999ft,Wooler Youth Hostel,England,Northumberland / Durham,20.0,1219,Wooler Youth Hostel,http://fellrunner.org.uk/races.php?id=5421 
Sat 7th Jul 2018 at 10:30,07/07 Heptonstall Festival,9.5km / 5.9m,460m / 1509ft,The Cross Inn Heptonstall HX7 7NB,England,South/West Pennines,5.9,460,53.750183 -2.021194,http://fellrunner.org.uk/races.php?id=5866 
Sat 7th Jul 2018 at 12:00,07/07 Cock Hill,7km / 4.3m,295m / 968ft,Queens Arms 1 Shepley Street Glossop SK13 7RZ,England,Peak District,4.3,295,Queens Arms 1 Shepley Street Glossop SK13 7RZ,http://fellrunner.org.uk/races.php?id=5805 
Sat 7th Jul 2018 at 12:00,07/07 Fan Y Big Horseshoe,16.5km / 10.3m,670m / 2198ft,Llanfrynach Sports Day field Brecon LD3 7BQ,Wales,Wales,10.3,670,Llanfrynach Sports Day field Brecon LD3 7BQ,http://fellrunner.org.uk/races.php?id=5616 
Sat 7th Jul 2018 at 13:00,07/07 Blackfell,14km / 8.7m,700m / 2297ft,Kettlewell BD23 5QX,England,York. Dales,8.7,700,54.146532 -2.047427,http://fellrunner.org.uk/races.php?id=5914 
Sat 7th Jul 2018 at 13:00,07/07 Warslow Beer Festival,10km / 6.2m,600m / 1968ft,Warslow Village Hall Cheadle Road (B5053) Warslow Buxton Derbyshire SK17 0JJ,England,Peak District,6.2,600,Warslow Village Hall Cheadle Road (B5053) Warslow Buxton Derbyshire SK17 0JJ,http://fellrunner.org.uk/races.php?id=5526 
Sat 7th Jul 2018 at 13:45,07/07 Kettleshulme,9.5km / 5.9m,303m / 994ft,Kettleshulme Village Hall SK23 7QU,England,Peak District,5.9,303,Kettleshulme Village Hall SK23 7QU,http://fellrunner.org.uk/races.php?id=5517 
Sat 7th Jul 2018 at 15:15,07/07 Oakworth Haul - Cancelled,9km / 5.6m,250m / 820ft,Oakworth Gala field Victoria Rd Oakworth BD22 7HT,England,South/West Pennines,5.6,250,Oakworth Gala field Victoria Rd Oakworth BD22 7HT,http://fellrunner.org.uk/races.php?id=5846 
Sat 7th Jul 2018,07/07 Dollar,15km / 9.3m,960m / 3150ft,Dollar Academy FK14 7DU NS959983,Scotland,Scotland,9.3,960,56.165948 -3.677943,http://fellrunner.org.uk/races.php?id=5483 
Sun 8th Jul 2018 at 11:00,08/07 Bollington Nostalgia,11.4km / 7.1m,372m / 1220ft,Bridgend Centre104 Palmerston St Bollington SK10 5PW,England,Peak District,7.1,372,53.298032 -2.097484,http://fellrunner.org.uk/races.php?id=5673 
Sun 8th Jul 2018 at 11:15,08/07 Peak Forest,9.7km / 6m,198m / 650ft,The former Peak Forest Village Store Church Lane  SK17 8EL,England,Peak District,6.0,198,53.312330 -1.828857,http://fellrunner.org.uk/races.php?id=5520 
Sun 8th Jul 2018 at 11:30,08/07 B O F R A Malham Charity Relays,2.5km / 1.6m,100m / 328ft,Listers Arms Malham BD23 4DB,England,York. Dales,1.6,100,Listers Arms Malham BD23 4DB,http://fellrunner.org.uk/races.php?id=5664 
Sun 8th Jul 2018 at 12:00,08/07 Pen Y Fan,5.8km / 3.6m,588m / 1929ft,Cwm Llwch car park Brecon,Wales,Wales,3.6,588,51.910140 -3.446432,http://fellrunner.org.uk/races.php?id=5908 
Sun 8th Jul 2018 at 14:30,08/07 Cosdon,5.2km / 3.2m,315m / 1033ft,Belstone Village Green,England,South West,3.2,315,50.724707 -3.956550,http://fellrunner.org.uk/races.php?id=5728 
