Date, Race, Distance, Ascent, Venue, Web
Wed 7th Jun 2017 at 19:00,Blencathra,13km / 8.1m,825m / 2707ft,Fellgate Mungrisedale CA11 0XR,http://fellrunner.org.uk/races.php?id=4864 
Sun 8th Jan 2017 at 13:00,Yha 'king Of The Castle',2.5km / 1.6m,200m / 656ft,YHA Borrowdale Rosthwaite CA12 5XE,http://fellrunner.org.uk/races.php?id=4868 
Wed 24th May 2017 at 19:00,Latterbarrow Loop,4.8km / 3m,250m / 820ft,Cold Fell Gate between Ennerdale and Calder Bridge,http://fellrunner.org.uk/races.php?id=4869 
Sat 26th Aug 2017 at 15:00,Arnison Crag Horseshoe,5km / 3.1m,300m / 984ft,King George Playing Fields Patterdale,http://fellrunner.org.uk/races.php?id=4884 
Sun 25th Jun 2017 at 14:00,Arnison Dash,2.4km / 1.5m,300m / 984ft,King George playing fields Patterdale,http://fellrunner.org.uk/races.php?id=4885 
Wed 17th May 2017 at 19:15,Caw,9.3km / 5.8m,550m / 1804ft,Near Blacksmiths Arms Broughton Mills Cumbria LA20 6AX,http://fellrunner.org.uk/races.php?id=4893 
Sat 3rd Jun 2017 at 11:00,Duddon Valley,29km / 18m,1830m / 6004ft,Newfield Inn Seathwaite Duddon Valley Cumbria,http://fellrunner.org.uk/races.php?id=4894 
Sat 24th Jun 2017 at 11:00,Darren Holloway Memorial Race ( Buttermere Horseshoe ),35.5km / 22.1m,2515m / 8251ft,Loweswater Village Hall,http://fellrunner.org.uk/races.php?id=4915 
Sat 24th Jun 2017 at 11:00,Darren Holloway Memorial Race Short,20.8km / 12.9m,1518m / 4980ft,Loweswater Village Hall,http://fellrunner.org.uk/races.php?id=4916 
Sat 28th Jan 2017 at 12:00,Blakes Heaven,8km / 5m,503m / 1650ft,The Green Lamplugh West Cumbria,http://fellrunner.org.uk/races.php?id=4919 
